Threshold,Precision,Recall
2.3411394e-06,0.5056859424147109,1.0
2.5610066e-06,0.5057471264367817,1.0
2.6605373e-06,0.5058083252662149,1.0
3.6008155e-06,0.5058695389083868,1.0
3.732191e-06,0.5059307673686758,1.0
3.9380184e-06,0.5059920106524634,1.0
5.9345252e-06,0.5060532687651331,1.0
1.0000485e-05,0.5061145417120717,1.0
1.0175324e-05,0.5061758294986679,1.0
1.0842245e-05,0.5062371321303136,1.0
1.3909491e-05,0.5062984496124031,1.0
1.4151644e-05,0.5063597819503332,1.0
1.420164e-05,0.5064211291495033,1.0
1.4524989e-05,0.5064824912153156,1.0
1.6105465e-05,0.506543868153175,1.0
1.7359798e-05,0.5066052599684887,1.0
1.7689475e-05,0.5066666666666667,1.0
1.8916686e-05,0.5067280882531215,1.0
1.9369782e-05,0.5067895247332687,1.0
1.9572513e-05,0.5068509761125257,1.0
2.0550919e-05,0.5069124423963134,1.0
2.213544e-05,0.5069739235900546,1.0
2.2172246e-05,0.5070354196991752,1.0
2.3672053e-05,0.5070969307291034,1.0
2.9631457e-05,0.5071584566852706,1.0
3.0133397e-05,0.5072199975731101,1.0
3.420802e-05,0.5072815533980582,1.0
3.828278e-05,0.507343124165554,1.0
4.241903e-05,0.5074047098810391,1.0
4.498909e-05,0.5074663105499575,1.0
5.030993e-05,0.5075279261777562,1.0
5.0391027e-05,0.5075895567698846,1.0
5.2876036e-05,0.507651202331795,1.0
6.041542e-05,0.507712862868942,1.0
6.142005e-05,0.5077745383867833,1.0
6.301214e-05,0.5078362288907787,1.0
6.319641e-05,0.5078979343863913,1.0
6.544616e-05,0.5079596548790861,1.0
6.7403525e-05,0.5080213903743316,1.0
6.786448e-05,0.5080831408775982,1.0
6.9517e-05,0.5081449063943594,1.0
7.0762646e-05,0.5082066869300912,1.0
7.64988e-05,0.5082684824902723,1.0
7.949102e-05,0.5083302930803842,1.0
8.089154e-05,0.508392118705911,1.0
8.998722e-05,0.5084539593723392,1.0
9.082535e-05,0.5085158150851582,1.0
9.523938e-05,0.5085776858498601,1.0
9.5864176e-05,0.5086395716719396,1.0
0.00011647391,0.5087014725568942,1.0
0.00012072962,0.508763388510224,1.0
0.00012841997,0.5088253195374315,1.0
0.00013028612,0.5088872656440224,1.0
0.00013203795,0.5089492268355047,1.0
0.0001329074,0.5090112031173892,1.0
0.00013425671,0.5090731944951894,1.0
0.00013813311,0.5091352009744214,1.0
0.00014254653,0.5091972225606042,1.0
0.00015131915,0.5092592592592593,1.0
0.00015439917,0.5093213110759108,1.0
0.00016640159,0.5093833780160858,1.0
0.00017364758,0.5094454600853139,1.0
0.00018942785,0.5095075572891272,1.0
0.00020054894,0.509569669633061,1.0
0.00020192759,0.509631797122653,1.0
0.0002033403,0.5096939397634435,1.0
0.00020902973,0.5097560975609756,1.0
0.0002107733,0.5098182705207952,1.0
0.00021748386,0.5098804586484509,1.0
0.00022809919,0.5099426619494937,1.0
0.00023035776,0.5100048804294778,1.0
0.00023497244,0.5100671140939598,1.0
0.0002396647,0.5101293629484989,1.0
0.00023987157,0.5101916269986574,1.0
0.00023988371,0.51025390625,1.0
0.00024445134,0.5103162007080942,1.0
0.00024475055,0.5103785103785103,1.0
0.00026051482,0.5104408352668214,1.0
0.00026121998,0.5105031753786028,1.0
0.0002615103,0.5105655307194332,1.0
0.00027694838,0.5106279012948938,1.0
0.0002771861,0.5106902871105681,1.0
0.0002829088,0.510752688172043,1.0
0.00029515006,0.5108151044849077,1.0
0.00029706073,0.5108775360547544,1.0
0.00031548174,0.5109399828871776,1.0
0.00031900767,0.511002444987775,1.0
0.0003275231,0.511064922362147,1.0
0.00033044905,0.5111274150158963,1.0
0.00033073177,0.5111899229546288,1.0
0.0003322411,0.511252446183953,1.0
0.00033542814,0.5113149847094801,1.0
0.00033721005,0.5113775385368241,1.0
0.00034084942,0.5114401076716016,1.0
0.00034303957,0.5115026921194322,1.0
0.00034699563,0.511565291885938,1.0
0.00035734227,0.5116279069767442,1.0
0.00036613795,0.5116905373974783,1.0
0.00037299667,0.5117531831537708,1.0
0.00037402875,0.511815844251255,1.0
0.00037425433,0.5118785206955669,1.0
0.0003778455,0.5119412124923454,1.0
0.00038113602,0.5120039196472318,1.0
0.00038795237,0.5120666421658704,1.0
0.00038908335,0.5121293800539084,1.0
0.00045044054,0.5121921333169954,1.0
0.00045146918,0.5122549019607843,1.0
0.0004533313,0.5123176859909303,1.0
0.0004623957,0.5123804854130914,1.0
0.00046821425,0.5124433002329287,1.0
0.00046932176,0.5125061304561059,1.0
0.00049136905,0.5125689760882894,1.0
0.0005055045,0.5126318371351484,1.0
0.0005185743,0.512694713602355,1.0
0.00054105517,0.5127576054955839,1.0
0.0005513301,0.5128205128205128,1.0
0.0005528235,0.5128834355828221,1.0
0.00055313966,0.5129463737881949,1.0
0.0005536365,0.5130093274423171,1.0
0.00055927655,0.5130722965508776,1.0
0.0005605601,0.5131352811195679,1.0
0.00057008525,0.5131982811540823,1.0
0.0005732308,0.5132612966601179,1.0
0.0005826195,0.5133243276433747,1.0
0.00058921584,0.5133873741095554,1.0
0.00061183807,0.5134504360643656,1.0
0.00061363506,0.5135135135135135,1.0
0.0006173807,0.5135766064627104,1.0
0.0006219056,0.5136397149176702,1.0
0.0006234745,0.5137028388841096,1.0
0.0006326772,0.5137659783677483,1.0
0.0006375985,0.5138291333743086,1.0
0.00065106625,0.5138923039095156,1.0
0.0006531815,0.5139554899790975,1.0
0.0006805751,0.514018691588785,1.0
0.0006849546,0.5140819087443119,1.0
